index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
3395,1619473250.6,84.92946853912092,-0.06675348096812572,35.0,,,-86.6843662,36.0643213,,,0.0,0.0,0.0,0.0,6368.96861021815,-6294.66861021815,356.8051123893128,West,True
3396,1619473250.7,84.96836887364316,-0.048580319712351765,35.0,,,-86.684349,36.0643047,,,0.0,0.0,0.0,0.0,6371.376369040912,-6297.076369040912,356.78588968814324,West,True
3397,1619473250.8,85.05865373184233,-0.03091443172873126,35.0,,,-86.6843318,36.064288,,,0.0,0.0,0.0,0.0,6373.792663045943,-6299.492663045943,356.7671168566824,West,True
3398,1619473250.9,85.03438538855282,-0.014009651486267883,35.0,,,-86.6843147,36.0642713,,,0.0,0.0,0.0,0.0,6376.203216002942,-6301.903216002942,356.80506292300686,West,True
3399,1619473251.0,84.98252392115369,0.0019280431121141755,35.0,,,-86.6842975,36.0642547,,,0.0,0.0,0.0,0.0,6378.610975456593,-6304.310975456593,356.80640237072777,West,True
3400,1619473251.1,85.1052828946165,0.016750483840653644,35.0,,,-86.6842805,36.0642383,,,0.0,0.0,0.0,0.0,6380.990143237825,-6306.6901432378245,356.80503007614533,West,True
3401,1619473251.2,85.12829538894502,0.030358567626713965,35.0,,,-86.6842633,36.0642217,,,0.0,0.0,0.0,0.0,6383.397903107862,-6309.097903107861,356.80568757931775,West,True
3402,1619473251.3,85.15071358632491,0.04270615529938088,35.0,,,-86.6842462,36.0642052,,,0.0,0.0,0.0,0.0,6385.791367229913,-6311.491367229913,356.7480570083143,West,True
3403,1619473251.4,85.1559764796607,0.053785184170140846,35.0,,,-86.6842292,36.0641885,,,0.0,0.0,0.0,0.0,6388.196199842597,-6313.896199842597,356.86260570063945,West,True
3404,1619473251.5,85.21006353528479,0.06362750477418205,35.0,,,-86.684212,36.0641722,,,0.0,0.0,0.0,0.0,6390.578483379569,-6316.278483379569,356.7857573108401,West,True
3405,1619473251.6,85.24892804178519,0.0722871203474133,35.0,,,-86.6841948,36.0641555,,,0.0,0.0,0.0,0.0,6392.9947790505485,-6318.694779050548,356.786870697024,West,True
3406,1619473251.7,85.2722621902478,0.07984323885625513,35.0,,,-86.68417779999999,36.064139,,,0.0,0.0,0.0,0.0,6395.382481672792,-6321.082481672792,356.8806567098683,West,True
3407,1619473251.8,85.29925889093663,0.08638166597793152,35.27987240912901,,,-86.6841605,36.0641227,,,0.0,0.0,0.0,0.0,6397.770608912858,-6323.470608912858,356.7479732309512,West,True
3408,1619473251.9,85.32763190340935,0.09200057885120344,35.77927112702888,,,-86.6841435,36.064106,,,0.0,0.0,0.0,0.0,6400.175442543067,-6325.875442543067,356.8241065683632,West,True
3409,1619473252.0,85.40070432185041,0.09679197872339232,36.0,,,-86.68412629999999,36.0640895,,,0.0,0.0,0.0,0.0,6402.574690291657,-6328.274690291657,356.7768315702617,West,True
3410,1619473252.1,85.40598989245962,0.10085076848354788,36.0,,,-86.68410925,36.0640729,,,0.0,0.0,0.0,0.0,6404.973816957497,-6330.6738169574965,356.77681505408526,West,True
3411,1619473252.2,85.41127546306883,0.10425722250543251,36.0,,,-86.68409220000001,36.0640563,,,0.0,0.0,0.0,0.0,6407.37294383071,-6333.07294383071,356.78677159372546,West,True
3412,1619473252.3,85.51792829940153,0.1070899256676004,36.0,,,-86.6840752,36.0640398,,,0.0,0.0,0.0,0.0,6409.760647685359,-6335.460647685359,356.8783774613131,West,True
3413,1619473252.4,85.55776272615621,0.1094105122109569,36.0,,,-86.68405770000001,36.0640233,,,0.0,0.0,0.0,0.0,6412.177360397734,-6337.877360397734,356.76730513499086,West,True
3414,1619473252.5,85.57191638799102,0.11128050051564528,36.0,,,-86.6840407,36.06400670000001,,,0.0,0.0,0.0,0.0,6414.573619467921,-6340.273619467921,356.8240084134656,West,True
3415,1619473252.6,85.63560418057295,0.11274865936256974,36.0,,,-86.6840235,36.0639902,,,0.0,0.0,0.0,0.0,6416.972868473679,-6342.672868473679,356.78557517257406,West,True
3416,1619473252.7,85.61,0.1138699656108431,36.0,,,-86.6840063,36.0639735,,,0.0,0.0,0.0,0.0,6419.389166432368,-6345.089166432368,356.80544078206947,West,True
3417,1619473252.8,85.69229590621852,0.11469395491575218,36.0,,,-86.6839892,36.063957,,,0.0,0.0,0.0,0.0,6421.782633668928,-6347.4826336689275,356.8224134765887,West,True
3418,1619473252.9,85.72,0.11528208330341012,36.0,,,-86.6839718,36.0639403,,,0.0,0.0,0.0,0.0,6424.210473741281,-6349.910473741281,356.7860869511958,West,True
3419,1619473253.0,85.73623058098431,0.11569415452704937,36.0,,,-86.6839547,36.0639237,,,0.0,0.0,0.0,0.0,6426.612475673338,-6352.312475673338,356.82392630700326,West,True
3420,1619473253.1,85.79,0.11600041135359698,36.0,,,-86.6839375,36.0639072,,,0.0,0.0,0.0,0.0,6429.011725728874,-6354.711725728874,356.7854920732636,West,True
3421,1619473253.2,85.77294281652681,0.11626438070289546,36.0,,,-86.6839203,36.0638905,,,0.0,0.0,0.0,0.0,6431.42802473174,-6357.12802473174,356.8422151019016,West,True
3422,1619473253.3,85.80037498609103,0.11654891033419482,36.0,,,-86.683903,36.063874,,,0.0,0.0,0.0,0.0,6433.833077098284,-6359.533077098284,356.8040011759068,West,True
3423,1619473253.4,85.89740760167095,0.11689721540156542,36.0,,,-86.6838857,36.0638573,,,1.0,0.0,0.0,0.0,6436.255137571106,-6361.955137571106,356.80465086424107,West,True
3424,1619473253.5,85.91274069176181,0.11733613940175629,36.0,,,-86.6838685,36.0638407,,,1.0,0.0,0.0,0.0,6438.6629022484985,-6364.362902248498,356.84216593312834,West,True
3425,1619473253.6,85.90885829123893,0.11786028021184936,36.0,,,-86.68385119999999,36.063824200000006,,,1.0,0.0,0.0,0.0,6441.06795525167,-6366.76795525167,356.78540868539284,West,True
3426,1619473253.7,85.95155237970368,0.1184379013391437,36.0,,,-86.68383399999999,36.0638075,,,1.0,0.0,0.0,0.0,6443.484255298106,-6369.184255298106,356.8039348836287,West,True
3427,1619473253.8,86.01800781462971,0.1190030304300707,36.0,,,-86.68381670000001,36.0637908,,,1.0,0.0,0.0,0.0,6445.906316614565,-6371.606316614565,356.84123850666344,West,True
3428,1619473253.9,86.070797342799,0.11946772757706753,36.0,,,-86.6837993,36.063774200000005,,,1.0,0.0,0.0,0.0,6448.325664581907,-6374.025664581907,356.7665993312089,West,True
3429,1619473254.0,86.06536822056957,0.11972345351770397,36.0,,,-86.68378220000001,36.0637575,,,1.0,0.0,0.0,0.0,6450.736223939912,-6376.4362239399115,356.8225988743532,West,True
