index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS
58,1617400292.9,54.63759705520998,0.5479259692363048,42.978525439698494,,,-86.7227675,36.1111572,,,0.0,0.0,0.0,0.0,83.80653531268743
59,1617400293.0,54.76749208793089,0.6769112184249628,43.0,,,-86.7227603,36.111145,,,0.0,0.0,0.0,0.0,85.30941204352351
60,1617400293.1,54.9354203303476,0.6521288218658167,43.0,,,-86.7227532,36.1111328,,,0.0,0.0,0.0,0.0,86.8084446965278
61,1617400293.2,55.0850137810524,0.5387186067827681,43.0,,,-86.722746,36.11112070000001,,,0.0,0.0,0.0,0.0,88.30129212595509
62,1617400293.3,55.18532821455607,0.7612836761022995,43.0,,,-86.72273879999999,36.1111083,,,0.0,0.0,0.0,0.0,89.82427317513115
63,1617400293.4,55.25774272627573,0.5750827591169961,43.0,,,-86.7227317,36.111096200000006,,,0.0,0.0,0.0,0.0,91.31325067424353
64,1617400293.5,55.28,0.2231140207208303,43.0,,,-86.7227243,36.1110838,,,0.0,0.0,0.0,0.0,92.84394827802917
65,1617400293.6,55.39758158988322,0.3380488773715172,43.0,,,-86.7227173,36.1110715,,,0.0,0.0,0.0,0.0,94.3492767355813
66,1617400293.7,55.448719666624754,0.39,43.0,,,-86.72270999999999,36.1110592,,,0.0,0.0,0.0,0.0,95.86606052601535
67,1617400293.8,55.519872860100506,0.0,43.47879291442529,,,-86.7227027,36.1110468,,,0.0,0.0,0.0,0.0,97.39287847547112
68,1617400293.9,55.55268566436555,0.121821525129036,43.978072143730365,,,-86.7226953,36.1110343,,,0.0,0.0,0.0,0.0,98.9336000093699
69,1617400294.0,55.58305923229649,0.39,44.0,,,-86.722688,36.111022,,,0.0,0.0,0.0,0.0,100.4503839335384
70,1617400294.1,55.58107183081548,0.0247923067751373,44.0,,,-86.7226807,36.1110095,,,0.0,0.0,0.0,0.0,101.98725106985903
71,1617400294.2,55.56119123187168,0.0,44.0,,,-86.7226733,36.110997,,,0.0,0.0,0.0,0.0,103.52797274068246
72,1617400294.3,55.54286917740337,0.0,44.0,,,-86.72266579999999,36.1109845,,,0.0,0.0,0.0,0.0,105.0725915736369
73,1617400294.4,55.46526607171587,-0.19,44.0,,,-86.72265829999999,36.110972,,,0.0,0.0,0.0,0.0,106.61721045351662
74,1617400294.5,55.40573878363085,-0.19,44.0,,,-86.7226508,36.1109593,,,0.0,0.0,0.0,0.0,108.18187136223517
75,1617400294.6,55.3586891896876,-0.19,44.0,,,-86.7226433,36.1109467,,,0.0,0.0,0.0,0.0,109.73650385787545
76,1617400294.7,55.27938645359918,-0.3076760700479285,44.0,,,-86.7226358,36.110934,,,0.0,0.0,0.0,0.0,111.30116486004616
77,1617400294.8,55.26618556988888,-0.135194074236246,44.0,,,-86.7226283,36.1109213,,,0.0,0.0,0.0,0.0,112.86582590967733
78,1617400294.9,55.15016305537316,-0.2630367899681949,44.0,,,-86.72262070000001,36.1109088,,,0.0,0.0,0.0,0.0,114.41438445398119
79,1617400295.0,55.08132010931367,-0.19,44.0,,,-86.7226132,36.110896200000006,,,0.0,0.0,0.0,0.0,115.96901713720084
80,1617400295.1,55.064619441792345,-0.0132652200007502,44.0,,,-86.7226058,36.1108833,,,0.0,0.0,0.0,0.0,117.54998075242257
81,1617400295.2,55.027969916123375,-0.3539906230276801,44.0,,,-86.72259820000001,36.1108708,,,0.0,0.0,0.0,0.0,119.09853944164679
82,1617400295.3,54.91530729089836,-0.19,44.0,,,-86.72259050000001,36.1108583,,,0.0,0.0,0.0,0.0,120.65107959509467
83,1617400295.4,54.87051757317938,0.0,43.52204868318707,,,-86.722583,36.1108455,,,0.0,0.0,0.0,0.0,122.22578403365047
84,1617400295.5,54.84625391606156,-0.39,43.0216764729742,,,-86.7225753,36.110833,,,0.0,0.0,0.0,0.0,123.77832428637
85,1617400295.6,54.77214090525621,-0.39,43.0,,,-86.7225677,36.1108203,,,0.0,0.0,0.0,0.0,125.34687481015605
86,1617400295.7,54.53922563103277,-0.4239411714293876,43.0,,,-86.72256,36.1108077,,,0.0,0.0,0.0,0.0,126.90937791879533
87,1617400295.8,54.42410390594689,-0.78,43.0,,,-86.7225525,36.110795,,,0.0,0.0,0.0,0.0,128.47403943439832
88,1617400295.9,54.23631732525085,-0.98,43.0,,,-86.7225448,36.1107825,,,0.0,0.0,0.0,0.0,130.0265798858374
89,1617400296.0,54.00682346278908,-1.1461422949361335,43.0,,,-86.72253719999999,36.11077,,,0.0,0.0,0.0,0.0,131.57513896192555
90,1617400296.1,53.802224517615784,-1.0630711474680667,43.0,,,-86.7225295,36.1107576,,,0.0,0.0,0.0,0.0,133.11773256331276
91,1617400296.2,53.59762557244248,-0.98,43.0,,,-86.7225218,36.1107452,,,0.0,0.0,0.0,0.0,134.6603262136685
92,1617400296.3,53.39574017018779,-0.98,43.0,,,-86.72251429999999,36.110732500000005,,,0.0,0.0,0.0,0.0,136.22498795996762
93,1617400296.4,53.268698096567945,-0.9127441389121664,43.0,,,-86.72250670000001,36.11072,,,0.0,0.0,0.0,0.0,137.7735472272567
94,1617400296.5,53.04,-0.98,43.0,,,-86.72249920000002,36.1107075,,,0.0,0.0,0.0,0.0,139.3181670968118
95,1617400296.6,52.80295811925892,-1.17,43.0,,,-86.7224917,36.110695,,,0.0,0.0,0.0,0.0,140.86278701298374
96,1617400296.7,52.63850573022452,-1.17,43.0,,,-86.722484,36.1106825,,,0.0,0.0,0.0,0.0,142.4153278560929
97,1617400296.8,52.44523897614014,-0.98,43.0,,,-86.7224763,36.11067,,,0.0,0.0,0.0,0.0,143.96786874838776
98,1617400296.9,52.20111542076972,-0.98,43.0,,,-86.7224688,36.1106577,,,0.0,0.0,0.0,0.0,145.49250776513753
99,1617400297.0,52.05040529964222,-0.98,42.521514086228,,,-86.72246120000001,36.1106453,,,0.0,0.0,0.0,0.0,147.0310946344973
100,1617400297.1,51.85197897623401,-0.8750248531812974,42.0215194505936,,,-86.7224537,36.1106328,,,0.0,0.0,0.0,0.0,148.57571478411236
101,1617400297.2,51.65423673041156,-0.98,42.0,,,-86.72244599999999,36.1106205,,,0.0,0.0,0.0,0.0,150.10837809982814
102,1617400297.3,51.51767125841147,-0.9249790095478694,42.0,,,-86.7224385,36.1106083,,,0.0,0.0,0.0,0.0,151.62305038746499
103,1617400297.4,51.32995929919137,-0.98,42.0,,,-86.7224308,36.1105962,,,0.0,0.0,0.0,0.0,153.13590176653597
104,1617400297.5,51.12142607625409,-0.98,42.0,,,-86.7224233,36.1105838,,,0.0,0.0,0.0,0.0,154.67052381619908
105,1617400297.6,50.95071206932012,-0.98,42.0,,,-86.7224158,36.1105718,,,0.0,0.0,0.0,0.0,156.16531119048759
106,1617400297.7,50.72802573302685,-0.78,42.0,,,-86.7224082,36.1105597,,,0.0,0.0,0.0,0.0,157.67407654082578
107,1617400297.8,50.55918949336359,-0.98,42.0,,,-86.72240079999999,36.1105475,,,0.0,0.0,0.0,0.0,159.18477465017045
108,1617400297.9,50.41361294943418,-0.98,42.0,,,-86.7223933,36.1105357,,,0.0,0.0,0.0,0.0,160.6597443409434
109,1617400298.0,50.21,-0.78,42.0,,,-86.7223858,36.1105237,,,0.0,0.0,0.0,0.0,162.15453190063076
110,1617400298.1,50.0268736525561,-0.98,42.0,,,-86.7223785,36.1105118,,,0.0,0.0,0.0,0.0,163.63133673715424
111,1617400298.2,49.82886667083441,-0.9373675428758992,41.5225749164421,,,-86.722371,36.1105,,,0.0,0.0,0.0,0.0,165.1063065676928
112,1617400298.3,49.608310287661006,-0.98,41.02333431730101,,,-86.7223635,36.1104883,,,0.0,0.0,0.0,0.0,166.57139359729277
113,1617400298.4,49.41777264914347,-0.98,41.0,,,-86.7223563,36.1104763,,,0.0,0.0,0.0,0.0,168.05422950299996
114,1617400298.5,49.33137453932444,-0.8079575716542542,41.0,,,-86.7223488,36.1104648,,,0.0,0.0,0.0,0.0,169.499604841823
115,1617400298.6,49.10559387912979,-0.78,41.0,,,-86.7223417,36.1104532,,,0.0,0.0,0.0,0.0,170.9385431888521
116,1617400298.7,48.92203633684292,-0.98,41.0,,,-86.7223343,36.1104415,,,0.0,0.0,0.0,0.0,172.39952109658714
117,1617400298.8,48.73192748747445,-0.98,40.52355835887061,,,-86.722327,36.1104298,,,0.0,0.0869474141954096,0.0,0.0,173.85643354153817
118,1617400298.9,48.5476632642342,-0.98,40.02439915503853,,,-86.7223197,36.1104183,,,0.0,0.3649843822917992,0.0,0.0,175.2935221240342
119,1617400299.0,48.38254418734319,-1.0308671377890222,40.0,,,-86.7223125,36.1104068,,,0.0,0.6430206874973484,0.0,0.0,176.72653377927344
