longitudinal,altitude_lidar
91.93693807953856,673.12564522
92.39963617741874,673.12564522
92.86230885024676,673.12564522
93.32495646013109,673.12564522
93.78762513471514,673.12564522
94.25026901908815,673.12564522
94.71293380459197,672.997500172
95.17561920295086,673.015744337
95.63823507043112,673.015744337
96.10091653237033,673.015744337
96.56361817051166,673.015744337
97.02625108007211,673.015744337
97.48890442372644,673.015744337
97.95157792415375,673.015744337
98.41422759316879,673.015744337
98.87689726952055,673.015744337
99.33954336104946,673.015744337
99.80220931718753,673.015744337
100.26489487403569,673.211000671
100.72751425968927,673.211000671
101.19019605357819,673.211000671
101.65289705321285,673.410525802
102.11553260905379,673.410525802
102.57818760415648,673.410525802
103.04086178910707,673.410525802
103.50351325900797,673.410525802
103.96618378380192,673.410525802
104.42879051355533,673.716452489
104.89149877790247,673.716452489
