,Time,Velocity,Acceleration,SpaceGap,RelativeVelocity,Long,Lat
9248,1615299292.8,81.76246989425613,0.03742558983666062,51.17313086221388,1.0208119181187756,-86.6814657,36.0619033
9249,1615299292.9,81.83300186998132,0.095,51.33633905716085,1.0380743233535514,-86.6814818,36.061919
9250,1615299293.0,81.8862333877147,0.0,51.36316301604589,1.0353634425143408,-86.681498,36.0619348
9251,1615299293.1,81.91077776084481,0.095,51.32318007955025,1.0228687748594525,-86.6815142,36.0619505
9252,1615299293.2,81.93272951205337,0.0,51.399468570646704,1.029933571330838,-86.68153050000002,36.0619662
9253,1615299293.3,81.96178397521027,0.0,51.53293208400112,1.0466165105001395,-86.68154670000001,36.0619818
9254,1615299293.4,81.99127328652379,0.0,51.64621039799504,1.0653025994987604,-86.681563,36.0619977
9255,1615299293.5,82.0510252836215,0.05853700364366449,51.731903960881525,1.0867259902203819,-86.6815792,36.0620133
9256,1615299293.6,82.07539788097385,0.0,51.85740700407834,1.1042464444049942,-86.6815953,36.06202920000001
9257,1615299293.7,82.1392139052187,0.12962859158066672,52.00232943450044,1.1198630856142717,-86.6816117,36.0620448
9258,1615299293.8,82.15805654196603,0.07526705962150233,52.12050020396041,1.1291964407119293,-86.681628,36.0620607
9259,1615299293.9,82.10483502678738,0.095,52.225558314786056,1.1354498996896463,-86.68164420000002,36.0620765
9260,1615299294.0,82.17284489215099,0.0,52.317778496340075,1.1548870475097455,-86.68166070000002,36.0620922
9261,1615299294.1,82.15639035979048,0.0,52.40373734625075,1.1807542940106444,-86.68167679999998,36.062108
9262,1615299294.2,82.17538534492284,0.0,52.51275973295326,1.2169304628309956,-86.6816932,36.0621238
9263,1615299294.3,82.23864295003644,0.140460358056266,52.63861075688246,1.26062873502863,-86.6817095,36.0621397
9264,1615299294.4,82.25477021834456,0.0,52.787386907697716,1.3181465254142608,-86.6817258,36.0621555
9265,1615299294.5,82.25163988149107,0.0,52.94739660852528,1.3824361373539087,-86.6817422,36.0621713
9266,1615299294.6,82.18756067005513,0.095,53.10328455382751,1.3951759582407595,-86.6817585,36.0621873
9267,1615299294.7,82.2532676935431,0.0,53.25882045560737,1.4035082386932518,-86.6817748,36.062203
9268,1615299294.8,82.32691374129587,-0.0804279487827006,53.400553567938374,1.418826884435885,-86.6817912,36.062219
9269,1615299294.9,82.32000000000002,0.0,53.53551785041783,1.437571923669144,-86.68180749999998,36.0622348
9270,1615299295.0,82.35656522409586,0.0,53.687353417777366,1.4567964222993324,-86.681824,36.0622508
9271,1615299295.1,82.35736178090852,-0.0391673894189072,53.84748330773996,1.4762566519822855,-86.68184029999998,36.0622667
9272,1615299295.2,82.37157990381439,0.095,54.00274358205702,1.4920247775521884,-86.6818567,36.0622825
9273,1615299295.3,82.2413981771548,-0.095,54.151339810323215,1.502740851706001,-86.68187320000001,36.0622985
9274,1615299295.4,82.50595206040465,0.08579339335980464,54.300795889294925,1.5356488010443516,-86.6818895,36.0623143
9275,1615299295.5,82.502513068803,-0.295,54.450670109723625,1.5793621153360553,-86.68190600000001,36.06233029999999
9276,1615299295.6,82.3970948432094,0.33816967356709804,54.60733933842288,1.6440653148857236,-86.6819223,36.06234620000001
9277,1615299295.7,82.45286784647207,0.2311103387318043,54.76734277171918,1.7190669242433634,-86.6819388,36.062362
9278,1615299295.8,82.51485521031495,0.0,55.066965922219985,0.3139276695144315,-86.6819553,36.062378
9279,1615299295.9,82.51759429531157,-0.0333563497889521,55.43507894385381,-1.817282230796137,-86.6819718,36.0623938
9280,1615299296.0,82.52085527059089,0.0,55.6937555148248,-1.8644078840970348,-86.68198829999999,36.0624097
9281,1615299296.1,82.58736686738806,0.1031949831442346,55.80228726684636,0.9478080862533695,-86.6820048,36.06242570000001
9282,1615299296.2,82.53261222666825,0.0,56.010998677113584,1.9106130920697706,-86.6820213,36.0624415
9283,1615299296.3,82.54213349115052,0.07335396017095572,56.273057069151754,1.8885649100473285,-86.6820378,36.0624575
9284,1615299296.4,82.64917279936631,0.0,56.45414440930666,1.8845931963532194,-86.68205429999998,36.06247329999999
9285,1615299296.5,82.6064413969917,0.0,56.595029996049384,1.889596235655163,-86.6820708,36.0624892
9286,1615299296.6,82.55567065717405,0.05896704962203428,56.73591558279212,1.8945992749571063,-86.6820873,36.0625052
9287,1615299296.7,82.6825101406872,0.0,56.87680150543258,1.8996023261872363,-86.68210400000002,36.062521
9288,1615299296.8,82.73,0.08370424967165385,57.01768709217531,1.9046053654891797,-86.6821205,36.062537
9289,1615299296.9,82.69937674229698,0.09196511468204917,57.15857301481577,1.90960841671931,-86.6821372,36.0625528
9290,1615299297.0,82.67055018064092,0.095,57.32433460562568,1.9290657261050432,-86.6821537,36.0625688
9291,1615299297.1,82.64495007421401,-0.06511886812134315,57.52416322730293,1.9683177767916453,-86.6821703,36.0625847
9292,1615299297.2,82.69617754091699,0.0,57.752621371454744,2.0196167970733456,-86.6821868,36.0626007
9293,1615299297.3,82.79498300065804,-0.03888044663057716,57.99514574300981,2.076834881422017,-86.6822035,36.0626167
9294,1615299297.4,82.65978362796822,-0.0697785573849924,58.166281428879316,2.101709720989359,-86.68222,36.0626325
9295,1615299297.5,82.63462673354972,0.195,58.28885323631156,2.1045824977260525,-86.6822367,36.0626485
9296,1615299297.6,82.53985040588603,0.00029189796335146734,58.4343662931856,2.115245922562774,-86.6822532,36.0626645
9297,1615299297.7,82.66065777214624,0.0,58.61161908747746,2.136687792840015,-86.6822697,36.0626803
9298,1615299297.8,82.68947360655133,-0.095,58.90158874690805,2.1773135865084132,-86.6822863,36.0626963
9299,1615299297.9,82.62994549798417,0.0,59.24691766609431,2.2273612559556977,-86.68230279999999,36.0627123
9300,1615299298.0,82.68810136618099,0.05066340197170393,59.48858145683289,2.2404015245616433,-86.6823193,36.0627285
9301,1615299298.1,82.69609388839682,0.0,59.67977026164645,2.2354226494362903,-86.6823358,36.0627445
9302,1615299298.2,82.70969692787548,0.0,60.01790925552009,2.262400974836623,-86.68235229999998,36.0627605
9303,1615299298.3,82.7162092660073,0.0,60.46229979808506,2.312485974510954,-86.682369,36.0627765
9304,1615299298.4,82.66457017552062,0.0,60.734413696082726,2.321316759998109,-86.6823855,36.0627925
9305,1615299298.5,82.66424860750607,0.0,60.949145532273285,2.3164067332559464,-86.682402,36.0628085
9306,1615299298.6,82.74142355899495,0.0,61.163877368463844,2.3114967065137844,-86.6824187,36.0628245
9307,1615299298.7,82.74190248583677,-0.18597943822454632,61.378609716615486,2.306586668065195,-86.6824352,36.0628407
9308,1615299298.8,82.64088706838737,-0.10961155122782548,61.593341552806045,2.3016766413230325,-86.6824518,36.06285670000001
9309,1615299298.9,82.72238979182136,0.0760457570409589,61.88738459791434,2.3435627495883566,-86.6824683,36.0628727
9310,1615299299.0,82.73124705028135,0.0,62.02422682605359,0.31678729478794754,-86.682485,36.0628887
9311,1615299299.1,82.67515950119626,0.00706011496451768,62.13968938736696,-1.9356073671961034,-86.6825015,36.0629047
9312,1615299299.2,82.65916477555766,-0.01937696,62.31477396161886,-1.3372118563556907,-86.6825182,36.0629208
9313,1615299299.3,82.66532823799824,0.03228207859957201,62.52698794060966,1.0365335631497516,-86.6825348,36.0629368
9314,1615299299.4,82.65660877116805,-0.1422659604924134,62.72435796089925,2.420466924382062,-86.68255129999999,36.0629528
9315,1615299299.5,82.6409922743756,-0.07690390884261844,62.90125672405815,2.4394203632919447,-86.6825678,36.06296879999999
9316,1615299299.6,82.51219739292365,0.06874312330374827,63.10221042548955,2.442209571227931,-86.68258449999998,36.062985
9317,1615299299.7,82.47519009437045,0.0,63.33355619023531,2.424576509890601,-86.6826012,36.063001
9318,1615299299.8,82.50884049457055,-0.28397043309020137,63.56673734218138,2.425917866258295,-86.68261770000002,36.063017
9319,1615299299.9,82.49127384094881,-0.295,63.80082508762975,2.436623098519653,-86.6826343,36.063033
9320,1615299300.0,82.4675551519733,-0.1493219849433512,64.11677215494736,2.5096321209941483,-86.68265079999998,36.0630492
9321,1615299300.1,82.47170284413238,-0.03967679202388452,64.44002292804639,2.588200017233499,-86.68266729999998,36.0630652
9322,1615299300.2,82.45506699534067,0.3450199157629929,64.69350016425233,2.5933124794684583,-86.682684,36.06308129999999
9323,1615299300.3,82.42309575511027,0.06501650165016501,64.91573357211738,2.5655333034853287,-86.6827005,36.0630973
9324,1615299300.4,82.36032927400038,0.0,65.14072397844953,2.5500000000000003,-86.6827172,36.0631133
9325,1615299300.5,82.42869545057822,0.0,65.36921026970785,2.5500000000000003,-86.6827338,36.06312929999999
9326,1615299300.6,82.40388636551326,0.0,65.59177978765237,2.554311925785579,-86.68275030000002,36.0631453
9327,1615299300.7,82.34596058485812,-0.095,65.81169379997378,2.5605594829538005,-86.682767,36.0631613
9328,1615299300.8,82.33858825796152,0.0,66.07305180932033,2.5969735373786316,-86.6827837,36.0631775
9329,1615299300.9,82.34275467187386,0.0,66.35308318867672,2.64697914083513,-86.6828003,36.0631933
